symptoms,age_min,age_max,disease,dosha,remedy,yoga
"fever, body ache, fatigue",18,65,Influenza,Vata,warm ginger-turmeric decoction twice daily; rest,Surya Namaskar (gentle 3 rounds) and Anulom Vilom
"cough, sore throat, runny nose",10,80,Common Cold,Kapha,tulsi-honey infusion; steam inhalation with eucalyptus,Bhastrika (mild) and Matsyasana
"burning sensation, acidity, irritability",25,60,Acid Reflux,Pitta,amla juice diluted; avoid spicy food; shatavari with milk,Paschimottanasana and Sheetali pranayama
"joint pain, stiffness, cracking sounds",40,85,Osteoarthritis,Vata,ashwagandha with warm milk; sesame oil massage,Vajrasana and gentle Pawanmuktasana
"anxiety, restlessness, dry skin",20,55,Anxiety Disorder,Vata,brahmi tea; regular sleep routine; warm oil foot massage,Shavasana and Nadi Shodhana
"weight gain, lethargy, congestion",18,70,Metabolic Sluggishness,Kapha,triphala at night; light warm meals; avoid cold drinks,Kapalbhati (moderate) and Ardha Matsyendrasana
"skin rash, inflammation, heat in body",15,50,Skin Inflammation,Pitta,neem-aloe juice; coconut water; avoid fermented foods,Chandra Namaskar and Shitali pranayama
"constipation, bloating, irregular appetite",30,75,Digestive Imbalance,Vata,haritaki with warm water; soaked raisins; small frequent meals,Pavanmuktasana series and Agnisar kriya
"headache, sensitivity to light, nausea",18,60,Migraine,Pitta,brahmi-ghee nasya (under guidance); dark quiet rest; rose water,Bhramari pranayama and neck stretches
"low energy, poor circulation, cold hands",25,65,Circulatory Weakness,Vata,arjuna bark decoction; pomegranate; light exercise daily,Tadasana and Utkatasana
"high fever, chills, muscle pain",20,60,Influenza,Vata,ginger tea with lemon; light kitchari; rest,gentle Surya Namaskar and Anulom Vilom
"sneezing, nasal congestion, mild fever",12,75,Common Cold,Kapha,warm water with honey; avoid dairy; steam inhalation,Bhastrika light and Balasana
"heartburn, regurgitation, chest discomfort",30,55,Acid Reflux,Pitta,coriander-cumin water; smaller meals; avoid fried food,Vajrasana after meals and Sheetali
"knee pain, morning stiffness, swelling",45,80,Osteoarthritis,Vata,guggulu under guidance; warm castor oil pack,gentle Virabhadrasana and Tai Chi–style flow
"panic, palpitations, insomnia",22,50,Anxiety Disorder,Vata,jatamansi tea; pranayama before bed,Shavasana and Chandra Bhedana
"sluggish metabolism, mucus, heaviness after meals",25,72,Metabolic Sluggishness,Kapha,warm spices; bitter greens; walk after meals,Kapalbhati and Trikonasana
"itchy skin, redness, burning",18,45,Skin Inflammation,Pitta,sandalwood paste cooling; aloe gel; avoid sun,Shitali and gentle forward folds
"hard stools, gas, variable hunger",35,70,Digestive Imbalance,Vata,hingvastak churna with ghee (guided); warm water,Pawanmuktasana and Vajrasana
"pulsating headache, photophobia, vomiting",20,58,Migraine,Pitta,cooling diet; peppermint tea; dark room rest,Bhramari and gentle neck rolls
"fatigue, cold sensitivity, pale complexion",28,60,Circulatory Weakness,Vata,pomegranate juice; raisins; mild cardio,Tadasana and Utkatasana
